Boundary-sensitive distinction,Conceptual–operational rationale for retaining the distinction,Post-hoc coupling support
E11 vs E12 (sensation vs interpretation),"Both belong to the appraisal module of the E channel, but operate at different levels. E11 codes first-order reports of thermal state (for example, “It’s boiling today”), whereas E12 codes interpretive appraisal and sense-making, such as comparisons between dry and humid heat or framing current heat as anomalous. The boundary is simple state report versus interpretive judgement.","E11 shows a monitoring baseline pattern, with enrichment of Surprise and Neutral and depletion of Sadness and Fear. E12 departs from this baseline through higher Sadness and Disgust, suggesting that interpretive appraisal carries burden and aversion signals absent from simple heat sensation reports."
E31 vs E11/E12 (coping vs appraisal),"E11/E12 capture appraisal of the stressor; E31 captures emotional coping. In stress-and-coping theory, individuals first perceive and interpret the stressor, then regulate their response through venting, exaggeration, humour or social expression. The boundary is appraisal of heat versus expressive coping with heat.","E31 shows co-enrichment of Joy, Sadness and Anger with Fear depletion, yielding a mixed expressive-coping profile distinct from the monitoring baseline observed for E11."
E21 vs E23 (sleep vs work),"Both are situated everyday disruptions, but they concern different domains of life. E21 codes disrupted sleep, night-time recovery and rest; E23 codes work obligations, productivity, commuting burden and PPE discomfort. The boundary is the sleep/recovery domain versus the work/commuting domain.","Both show Sadness enrichment, indicating a shared everyday-burden logic. However, E23 exhibits the strongest Sadness signal, accompanied by depletion of Joy and Neutral, whereas E21 shows a more moderate Sadness enrichment. Retaining the distinction preserves domain-specific information on burden."
E24 vs E25 (personal vs organised activity),"Both involve outdoor heat exposure, but differ in how activity is organised. E24 captures self-directed activity in which exposure can be adjusted by the individual; E25 captures organised contexts structured by schedules, venues, organisers or crowds. The boundary is personal activity versus organised collective activity.","E24 shows strong Joy enrichment. E25 also shows Joy enrichment, but more clearly within collective and organised settings. Retaining the distinction helps separate personal outdoor experience from heat experience in organised activities."
E22 vs H12 (companionship vs animal health risk),"Both may mention pets or animals, but they belong to different pathways. E22 concerns domestic companionship and home life; H12 concerns animal vulnerability, distress, injury or rescue. The boundary is companionship in a domestic context versus explicit animal-health risk framing.","E22 shows mild Joy enrichment, consistent with companionship and domesticity, whereas H12 shows stronger Fear enrichment, consistent with vulnerability and risk."
E23 vs H11 (work burden vs vulnerable populations),"Both may involve work or outdoor labour, but E23 codes everyday role burden, whereas H11 codes differential health vulnerability, such as elderly people, children, unhoused people, people with chronic illness, or outdoor workers explicitly framed as at-risk populations. The boundary is role disruption versus explicit health vulnerability.","E23 shows strong Sadness enrichment with depletion of Joy and Neutral, consistent with an everyday-burden profile. H11 instead shows Fear enrichment, closer to the threat-appraisal structure of the H channel."
H21 vs H22 (physical vs mental health),"Both are individual-level health outcomes, but H21 concerns bodily symptoms and medical consequences, whereas H22 concerns psychological distress and mental-health burden linked to heat. The boundary is physical symptom / medical framing versus mental-health framing.","H21 shows the strongest Fear enrichment in the full taxonomy, along with some Sadness, whereas H22 also shows Fear enrichment but at a lower level. Retaining the distinction helps separate acute physical harm from longer-term psychological burden."
H31 vs H21/H22 (population vs individual health),"H21/H22 capture individual-level outcomes; H31 captures population-level burden, aggregate consequences or health-system strain. The boundary is personal symptoms versus collective public-health burden.","H31 also shows Fear enrichment, but less strongly than H21, indicating a more population-level risk profile rather than direct individual harm."
H41 vs S31 (health warnings vs institutional response),"Both may appear in official communication, but H41 refers to public-health action such as warnings and preventive advice, whereas S31 refers to institutional operation such as cooling centres, school closures, service adjustments or emergency management. The boundary is preventive health guidance versus institutional operational response.","H41 shows the strongest Fear enrichment in the taxonomy, whereas S31 shows only mild Sadness enrichment, indicating a clearly different institutional profile."
S11 vs S21 (justice vs planning),"Both concern structural conditions, but S11 foregrounds inequality, housing injustice and distributive justice, whereas S21 foregrounds the built environment, shade, urban heat islands and planning mechanisms. The boundary is normative justice claims versus physical planning and infrastructural mechanisms.","S11 shows enrichment of Anger with some Sadness, whereas S21 shows mild Joy and Fear enrichment, closer to a solution-oriented planning discourse."
S41 vs S43 (attribution vs contextualisation),"Both are climate-related framings, but S41 explicitly attributes current heat to climate change, whereas S43 places heat in a long-term or historical context without necessarily making an explicit causal attribution. The boundary is causal attribution versus temporal contextualisation.","S41 shows strong Neutral enrichment with depletion of Joy and Surprise, consistent with information monitoring. S43 instead shows Fear enrichment, suggesting that long-term contextualisation often co-occurs with threat appraisal."
S41/S43 vs S44 (climate framing vs compound extremes),"S44 is not another general climate framing, but a compound-risk configuration capturing heat in conjunction with drought, wildfire, smoke, flood or cascading risk. The boundary is single-hazard attribution / contextualisation versus compound or cascading risk framing.","S44 shows enrichment of Neutral and Fear with depletion of Surprise, producing a risk-monitoring and threat profile distinct from both S41 and S43."
S42 vs S41 (contestation vs attribution),"Both concern climate change, but S41 accepts and states the climate–heat relationship, whereas S42 questions, denies or contests it. The boundary is accepted attribution versus contested attribution.","S42 shows Fear enrichment and mild Anger enrichment, distinct from the strong Neutral enrichment of S41. This indicates that attribution and contestation share topic vocabulary but differ in attention–emotion structure."
