Country,City,Climate Plan,Climate Plan Year,Climate Plan Name,C40 Member,ICLEI Member,Heat Action Plan,Heat Plan Year,Heat Plan Name,Cooling Centres,Notes
Australia,Brisbane,1,2017,"Brisbane Clean, Green, Sustainable 2017–2031",0,1,0,,,0,State-level heat governance
Australia,Melbourne,1,2009,Climate Change Adaptation Strategy,1,1,1,2009,Extreme heat chapter,1,Early heatwave planning
Australia,Perth,1,2022,Sustainability Strategy 2022–2032,0,0,0,,,1,Public buildings as cooling
Australia,Sydney,1,2015,Adapting for Climate Change,1,1,1,2015,Cooling Sydney,1,Cooling network
Canada,Calgary,1,2018,Climate Resilience Strategy,0,1,1,2018,Extreme heat actions,1,Cooling map
Canada,Edmonton,1,2011,The Way We Green,0,1,1,2019,Extreme Weather Response Policy,1,Formal response
Canada,London,1,2022,Climate Emergency Action Plan,0,0,1,,HARS,1,Regional system
Canada,Ottawa,1,2014,Air Quality & Climate Plan,0,1,1,2004,Heat and Smog Action Plan,1,Early leader
Canada,Toronto,1,2017,TransformTO,1,1,1,2018,Hot Weather Response Plan,1,Heat relief network
Canada,Vancouver,1,2011,Greenest City 2020,1,1,1,2012,Adaptation Strategy,1,Joint health-city
Canada,Winnipeg,1,2018,Winnipeg Climate Action Plan,0,0,1,,HARS,0,Limited cooling detail
United Kingdom,Birmingham,1,,Route to Zero / CEAP,0,1,0,,,0,National heatwave plan
United Kingdom,Bristol,1,,One City Climate Strategy,0,1,1,,Keep Bristol Cool,1,Local heat framework
United Kingdom,Leeds,1,,Climate Emergency Strategy,0,0,0,,,0,National guidance
United Kingdom,Liverpool,1,,Net Zero Action Plan,0,0,0,,,0,Heat risk only
United Kingdom,London,1,2007,Mayor’s Climate Change Action Plan,1,1,0,,,1,Cooling spaces
United Kingdom,Manchester,1,2009,A Certain Future,0,0,0,,,1,Regional risk
United Kingdom,Sheffield,1,2018,Green City Strategy,0,0,0,,,0,National plan
United States,Arlington (VA),1,2013,Community Energy Plan,0,1,0,,,1,County cooling spots
United States,Atlanta,1,2015,Climate Action Plan,0,1,0,,,1,Heatwave cooling centers
United States,Austin,1,2015,Austin Community Climate Plan,1,1,0,2024,Heat Resilience Playbook,1,Equity-based
United States,Baltimore,1,2012,Climate Action Plan,0,1,1,2006,Code Red,1,Long-standing
United States,Birmingham (AL),0,2024,Priority Climate Action Plan,0,1,0,,,1,Regional PCAP
United States,Boston,1,2007,Climate Action Plan,1,1,1,2022,Heat Resilience Solutions,1,Dedicated plan
United States,Charlotte,1,2018,Strategic Energy Action Plan,0,0,0,,,1,Regional cooling
United States,Chicago,1,2008,Climate Action Plan,1,1,1,,Heat Emergency Plan,1,Post-1995
United States,Columbus,1,2018,Climate Adaptation Plan,0,1,1,2018,Extreme heat chapter,1,Adaptation focus
United States,Dallas,1,2020,Comprehensive Climate Plan,0,1,0,2023,Heat Watch Dallas,1,NOAA based
United States,Denver,1,,80 x 50 / Climate Framework,0,0,0,,,0,Heat plan unclear
United States,Fort Worth,0,,,0,0,0,,,0,No climate plan
United States,Fresno,0,,,0,0,0,,,0,CAP unclear
United States,Houston,1,2020,Houston Climate Action Plan,1,1,0,2023,Public Health Heat Plan,1,Clear thresholds
United States,Indianapolis,1,2019,Thrive Indianapolis,0,0,0,,,1,Libraries as cooling
United States,Las Vegas,1,2021,2050 Master Plan,0,1,0,,,1,County-led heat actions
United States,Louisville,1,2009,Climate Action Report,0,1,1,2016,Urban Heat Strategy,1,UHI focus
United States,Madison,1,2011,Sustainability Plan,0,1,0,,,1,County cooperation
United States,Miami,1,2021,Miami Forever Carbon Neutral,1,1,1,2021,Chief Heat Officer Plan,1,County-city
United States,Nashville,1,2021,Climate Action Plan,0,1,0,2024,Adaptation Plan,1,Priority risk
United States,New Orleans,1,2017,Climate Action for Resilience,1,1,0,2024,Heat Mitigation (draft),1,In development
United States,New York City,1,2007,PlaNYC,1,1,1,2017,Cool Neighborhoods NYC,1,Benchmark
United States,Paradise (NV),1,2021,All-In Clark County,0,0,1,2021,Extreme heat chapter,0,County level
United States,Philadelphia,1,2009,Greenworks,1,1,1,2018,Beat the Heat,1,Community plans
United States,Phoenix,1,2021,Phoenix Climate Action Plan,1,1,0,2024,Heat Response Plan,1,Office of Heat Response
United States,Portland,1,2015,City–County Climate Plan,1,1,1,2022,Cooling Portland,1,Post-2021
United States,Richmond,1,2022,RVAgreen 2050,0,0,1,2022,Cool the City,1,Equity driven
United States,San Antonio,1,2019,Climate Action & Adaptation Plan,0,1,1,2019,Extreme heat chapter,1,Public health
United States,San Diego,1,2015,Climate Action Plan,0,1,0,2024,Climate Resilient SD,1,Cool Zones
United States,San Francisco,1,2004,Climate Action Plan,1,1,0,2023,HAQR Plan,1,Heat + air quality
United States,Seattle,1,2013,Climate Action Plan,1,1,1,2022,County Heat Strategy,1,County-led
United States,Vancouver (WA),1,2022,Climate Action Framework,0,1,1,2022,Adaptation Strategy,1,City–county
