No.,Name,Theory Anchor,Stage/ Domain,Category,Definition,Theoretical role
Exposure & lived experience (E),Exposure & lived experience (E),Exposure & lived experience (E),Exposure & lived experience (E),Exposure & lived experience (E),Exposure & lived experience (E),Exposure & lived experience (E)
E11,Everyday thermal sensation statements,Transactional Stress & Coping,Appraisal,Sensory thermal state,"Reports an immediate thermal sensation or comfort state (e.g., hot/cold/warm/cool/comfortable/uncomfortable) as a descriptive, present-focused state report.",Perceptual appraisal
E12,Interpreting thermal feel (humid/muggy/sticky; dry/humid),Transactional Stress & Coping,Appraisal,Situational interpretation of thermal discomfort,"Explains, attributes, or compares why the thermal experience feels a certain way by providing a situational interpretation of the sensation, without anchoring the statement to a specific life-domain disruption or explicit health-risk framing.",Interpretive appraisal (meaning-making about the stressor)
E21,Nighttime heat & sleep disruption (non-medical),Transactional Stress & Coping,Situated disruptions,Nighttime heat & sleep disruption (non-medical),"Heat framed as disrupting sleep/routines (difficulty falling asleep, restless night, sweating at night) without clinical diagnosis or medical risk framing.",Domain disruption (sleep/routine)
E22,Home life & everyday companionship cooling (non-risk),Transactional Stress & Coping,Situated disruptions,Home life & everyday companionship cooling (non-risk),"Home-based everyday life under heat (domestic routines, family/companionship, including pets as companionship) without centring explicit animal health risk or institutional service provision.",Domain disruption (home-life context)
E23,Work & commute,Transactional Stress & Coping,Situated disruptions,Work & commute burden (non-medical),"Heat interferes with work or commuting (PPE discomfort, productivity loss, travel inconvenience) without clinical/medical framing.",Domain disruption (role/obligation)
E24,Personal outdoor activity experience,Transactional Stress & Coping,Situated disruptions,Personal outdoor activity experience,"Heat experienced during self-directed outdoor activities (walking/running/leisure/travel) emphasizing constraints, adjustments, and personal experience rather than organized events.",Domain disruption (self-directed activity)
E25,Organized events & mass-activity heat experience,Transactional Stress & Coping,Situated disruptions,Organized events & mass-activity heat experience,"Heat experienced in organized settings (sports events, festivals, venues, crowds, queues, event rules/operations) where the structured context is central.",Domain disruption (organized/structured context)
E31,"Affective coping (venting, humor, celebration/savoring)",Transactional Stress & Coping,Coping,"Affective coping (venting, humor, celebration/savoring)","Emotion expressed as regulation/social coping: negative venting (ranting, swearing, exaggerated complaint) and/or positive savoring/celebration of warmth; excludes clinical mental health burden framing.",Emotion-focused coping (affect regulation)
E32,Device/spatial cooling strategies,Transactional Stress & Coping,Coping,Device/spatial cooling strategies,"Cooling via devices or spatial strategies (AC, fans, shade, staying indoors, seeking cooler indoor spaces) when framed as personal coping rather than institutional provision.",Problem-focused coping (resource/behavioral adjustment)
E33,Consumptive cooling (food/drink),Transactional Stress & Coping,Coping,Consumptive cooling (food/drink),"Cooling/relief via beverages or food (ice cream, cold drinks, chilled foods; treat framing) as a personal coping practice.",Problem-focused coping (consumptive strategy)
Health impacts & burden (H),Health impacts & burden (H),Health impacts & burden (H),Health impacts & burden (H),Health impacts & burden (H),Health impacts & burden (H),Health impacts & burden (H)
H11,Vulnerable populations at risk (incl. occupational exposure),Environmental Health Risk Pathway,Vulnerability,Vulnerable populations at risk (incl. occupational exposure),"Highlights heightened heat risk for specific groups (older adults, children, unhoused, chronically ill, marginalized groups) and/or occupational exposure, framed as vulnerability rather than outcomes.",Vulnerability (differential susceptibility/exposure)
H12,Animal health risk,Environmental Health Risk Pathway,Vulnerability,Animal health risk,"Heat-related illness/risk/death concerns for pets or wildlife (overheating, dehydration, rescue) framed as animal vulnerability.",Non-human vulnerability
H21,Individual physical health outcomes,Environmental Health Risk Pathway,Outcomes,Individual physical health outcomes,"Explicit physical symptoms or medical framing (heat illness, dehydration, fainting, nausea; ER/hospital; symptom-tied advice).",Individual physical outcomes
H22,Individual mental health risk & burden,Environmental Health Risk Pathway,Outcomes,Individual mental health risk & burden,"Heat framed as mental health risk/burden (anxiety/depression, psychological distress, mental health system strain) beyond everyday venting/humor.",Mental health outcomes/burden
H31,Population/system health burden,Environmental Health Risk Pathway,Outcomes,Population/system health burden,"Population-level impacts (mortality, hospitalizations, epidemiological statistics, health system overload) are framed as a collective burden.",Population/system outcomes
H41,Health warnings & preventive advice,Environmental Health Risk Pathway,Public health action,Health warnings & preventive advice,"Heat alerts, risk reminders, and prevention guidance (hydration, check-ins, stay indoors) framed as action-oriented public health messaging.",Public health action/response
Systems & governance (S),Systems & governance (S),Systems & governance (S),Systems & governance (S),Systems & governance (S),Systems & governance (S),Systems & governance (S)
S11,Structural inequality & climate justice framing,Socio-technical Risk Governance,Structural vulnerability & equity,Structural inequality & climate justice framing,"Structural correlates of unequal heat exposure/cooling access (housing/renting, resource distribution, justice claims; includes refugee/justice narratives).",Equity/justice governance frame (structural vulnerability)
S21,Urban planning shaping heat exposure & cooling conditions,Socio-technical Risk Governance,Built environment,Urban form/planning shaping heat exposure & cooling conditions,System-level mechanisms linking urban design/materials/greenery/infrastructure/planning to heat exposure and cooling conditions; excludes institutional “cooling centre” operations.,Built-environment mechanism (exposure shaping)
